symbol,side,size,price,timestamp
ETH,BUY,0.0998,500801.000,2024-07-10 21:06:21.414
ETH,SELL,0.0920,500700.000,2024-07-10 21:07:52.744
ETH,SELL,0.0119,500700.000,2024-07-10 21:07:58.888
ETH,SELL,0.3961,500700.000,2024-07-10 21:07:58.982
ETH,SELL,0.0119,500256.000,2024-07-10 21:07:58.982
ETH,BUY,0.0300,500451.000,2024-07-10 21:08:56.113
ETH,SELL,0.0881,500256.000,2024-07-10 21:13:15.266
ETH,SELL,0.1037,500000.000,2024-07-10 21:13:15.266
ETH,SELL,0.0881,500000.000,2024-07-10 21:13:16.439
ETH,SELL,0.0887,500000.000,2024-07-10 21:13:18.160
ETH,SELL,0.1000,500000.000,2024-07-10 21:13:19.363
ETH,SELL,0.0100,500000.000,2024-07-10 21:14:04.672
ETH,SELL,0.0500,500000.000,2024-07-10 21:14:46.487
ETH,SELL,0.0500,500000.000,2024-07-10 21:14:46.595
ETH,SELL,0.4116,500000.000,2024-07-10 21:14:46.640
ETH,SELL,0.0979,500000.000,2024-07-10 21:14:46.641
ETH,SELL,0.0150,500000.000,2024-07-10 21:14:46.641
ETH,SELL,0.0500,500000.000,2024-07-10 21:14:46.641
ETH,SELL,0.0314,500000.000,2024-07-10 21:14:46.641
ETH,SELL,0.0686,500000.000,2024-07-10 21:14:46.847
ETH,SELL,0.0014,500000.000,2024-07-10 21:14:46.847
ETH,SELL,0.0500,500000.000,2024-07-10 21:14:47.540
ETH,SELL,0.4617,500000.000,2024-07-10 21:14:47.763
ETH,SELL,1.3869,500000.000,2024-07-10 21:14:48.057
ETH,SELL,0.0100,500000.000,2024-07-10 21:14:48.057
ETH,SELL,0.1000,500000.000,2024-07-10 21:14:48.057
ETH,SELL,0.0200,499999.000,2024-07-10 21:14:48.057
ETH,SELL,0.1000,499250.000,2024-07-10 21:14:49.323
ETH,SELL,0.1000,499250.000,2024-07-10 21:14:49.708
ETH,BUY,0.0199,499322.000,2024-07-10 21:15:07.178
ETH,BUY,0.3400,499409.000,2024-07-10 21:15:50.307
ETH,BUY,0.1000,499240.000,2024-07-10 21:17:19.911
ETH,BUY,0.1000,499684.000,2024-07-10 21:20:49.631
ETH,BUY,0.0500,499931.000,2024-07-10 21:22:29.616
ETH,BUY,0.4000,500192.000,2024-07-10 21:23:29.251
ETH,BUY,0.1000,500347.000,2024-07-10 21:27:01.720
ETH,BUY,0.1036,500411.000,2024-07-10 21:27:01.720
ETH,BUY,0.0964,500482.000,2024-07-10 21:27:01.720
ETH,BUY,1.0000,499727.000,2024-07-10 21:32:13.264
ETH,BUY,0.0100,500060.000,2024-07-10 21:33:36.500
ETH,BUY,0.0139,500051.000,2024-07-10 21:34:34.010
ETH,BUY,0.0401,500105.000,2024-07-10 21:34:34.010
ETH,BUY,0.0239,500163.000,2024-07-10 21:34:37.812
ETH,BUY,0.4000,499919.000,2024-07-10 21:42:33.423
ETH,BUY,0.4000,499919.000,2024-07-10 21:42:33.493
ETH,BUY,0.2000,499919.000,2024-07-10 21:42:34.303
ETH,BUY,0.3937,500082.000,2024-07-10 21:48:39.058
ETH,BUY,0.1000,500322.000,2024-07-10 21:50:01.764
ETH,BUY,0.5000,500322.000,2024-07-10 21:50:01.891
ETH,BUY,0.4000,500322.000,2024-07-10 21:50:02.148
ETH,BUY,0.4993,500472.000,2024-07-10 21:50:02.148
ETH,BUY,0.4304,500664.000,2024-07-10 21:50:03.250
ETH,BUY,0.0703,500664.000,2024-07-10 21:50:03.313
ETH,BUY,0.2426,500940.000,2024-07-10 21:50:03.313
ETH,BUY,0.1000,500940.000,2024-07-10 21:50:03.664
ETH,BUY,0.2300,500940.000,2024-07-10 21:50:03.777
ETH,BUY,0.4274,500940.000,2024-07-10 21:50:04.479
ETH,BUY,0.1000,501345.000,2024-07-10 21:50:04.479
ETH,BUY,0.1000,501443.000,2024-07-10 21:50:07.014
ETH,BUY,0.0500,501443.000,2024-07-10 21:50:07.633
ETH,BUY,0.1000,501443.000,2024-07-10 21:50:07.803
ETH,BUY,0.0398,501446.000,2024-07-10 21:50:15.593
ETH,BUY,0.0380,501716.000,2024-07-10 21:51:20.119
ETH,BUY,0.0441,501923.000,2024-07-10 21:51:20.551
ETH,BUY,0.3448,501594.000,2024-07-10 21:53:13.867
ETH,BUY,0.1552,501634.000,2024-07-10 21:53:13.867
ETH,BUY,0.1000,501615.000,2024-07-10 21:54:06.060
ETH,BUY,0.1281,501521.000,2024-07-10 21:55:27.137
ETH,BUY,0.1719,501630.000,2024-07-10 21:55:27.137
ETH,BUY,0.0500,501652.000,2024-07-10 21:55:49.023
ETH,BUY,0.0100,501623.000,2024-07-10 21:57:11.760
ETH,BUY,0.1100,501671.000,2024-07-10 21:57:11.760
ETH,SELL,0.5000,501303.000,2024-07-10 21:57:19.211
ETH,BUY,0.0100,501540.000,2024-07-10 21:57:39.912
ETH,BUY,0.0900,501558.000,2024-07-10 21:57:39.912
ETH,BUY,0.0200,501640.000,2024-07-10 21:57:43.241
ETH,SELL,0.5000,501274.000,2024-07-10 21:58:50.748
ETH,SELL,0.5000,501057.000,2024-07-10 21:59:06.639
ETH,SELL,0.2000,501057.000,2024-07-10 21:59:07.495
ETH,SELL,0.2000,501058.000,2024-07-10 21:59:09.376
ETH,SELL,0.1054,501017.000,2024-07-10 22:03:11.608
ETH,BUY,0.0110,501138.000,2024-07-10 22:04:14.280
ETH,SELL,0.0100,501265.000,2024-07-10 22:05:59.893
ETH,BUY,1.0000,501241.000,2024-07-10 22:07:50.662
ETH,BUY,0.0100,501993.000,2024-07-10 22:08:10.468
ETH,BUY,0.0101,502127.000,2024-07-10 22:08:10.468
ETH,BUY,0.0279,502189.000,2024-07-10 22:08:10.468
ETH,BUY,0.4000,502059.000,2024-07-10 22:11:42.176
ETH,BUY,0.0100,502037.000,2024-07-10 22:11:50.878
ETH,BUY,0.0700,502053.000,2024-07-10 22:11:50.878
ETH,BUY,0.0200,502052.000,2024-07-10 22:11:53.245
ETH,BUY,0.0600,502002.000,2024-07-10 22:12:20.114
ETH,BUY,0.0267,501867.000,2024-07-10 22:21:39.029
ETH,BUY,0.1000,501873.000,2024-07-10 22:21:39.072
ETH,BUY,0.2000,501873.000,2024-07-10 22:21:39.309
ETH,BUY,0.0267,502175.000,2024-07-10 22:21:42.244
ETH,BUY,0.0110,501702.000,2024-07-10 22:24:02.579
ETH,BUY,0.1000,501712.000,2024-07-10 22:25:42.718
ETH,BUY,0.9000,501713.000,2024-07-10 22:25:42.718
ETH,BUY,0.1000,502207.000,2024-07-10 22:28:04.588
ETH,BUY,1.0000,502037.000,2024-07-10 22:28:51.663
ETH,BUY,0.0180,502205.000,2024-07-10 22:30:19.515
ETH,BUY,0.0199,502232.000,2024-07-10 22:33:52.441
ETH,SELL,0.2000,502189.000,2024-07-10 22:45:51.788
ETH,SELL,0.2000,501803.000,2024-07-10 22:45:54.978
ETH,SELL,0.0100,501800.000,2024-07-10 22:49:15.109
ETH,BUY,0.0310,501579.000,2024-07-10 22:52:44.677
ETH,SELL,0.1725,501669.000,2024-07-10 22:56:18.791
ETH,SELL,0.5000,501434.000,2024-07-10 23:03:09.968
ETH,SELL,0.5000,501393.000,2024-07-10 23:04:06.838
ETH,BUY,0.0100,501520.000,2024-07-10 23:05:14.868
ETH,BUY,0.0100,501555.000,2024-07-10 23:05:15.505
ETH,BUY,0.0200,501555.000,2024-07-10 23:05:15.663
ETH,BUY,0.0200,501615.000,2024-07-10 23:10:19.317
ETH,BUY,0.0100,501434.000,2024-07-10 23:10:41.723
ETH,BUY,0.3200,501434.000,2024-07-10 23:10:41.818
ETH,BUY,0.4000,501434.000,2024-07-10 23:10:42.500
ETH,BUY,0.2000,501434.000,2024-07-10 23:10:42.505
ETH,BUY,0.0300,501434.000,2024-07-10 23:10:42.677
ETH,BUY,0.4000,501475.000,2024-07-10 23:10:42.771
ETH,BUY,0.1500,501541.000,2024-07-10 23:11:18.073
ETH,BUY,0.0200,501816.000,2024-07-10 23:11:30.495
ETH,BUY,0.5000,501845.000,2024-07-10 23:11:38.117
ETH,BUY,0.0530,501807.000,2024-07-10 23:12:09.088
ETH,BUY,0.0100,501297.000,2024-07-10 23:17:41.570
ETH,BUY,0.0100,501291.000,2024-07-10 23:17:41.701
ETH,BUY,0.0300,501372.000,2024-07-10 23:17:41.703
ETH,BUY,0.4000,501372.000,2024-07-10 23:17:41.992
ETH,BUY,0.0100,501291.000,2024-07-10 23:17:42.071
ETH,BUY,0.3100,501372.000,2024-07-10 23:17:42.071
ETH,BUY,0.2600,501372.000,2024-07-10 23:17:42.148
